;date;type;registration;operator;fatalities;location;country;cat;corrected_year
12390;1973-03-01;FAIRCHILD AC-119K STINGER;53-7839;VIETNAM AIR FORCE - VNAF;1;NEAR VIETNAM COAST;VIETNAM;A1;1973
12391;1973-03-02;DOUGLAS C-47 (DC-3);N6574;ARUTE INTERNATIONAL;0;SAN SALVADOR AIR...;BAHAMAS;A1;1973
12392;1973-03-02;DOUGLAS C-54E (DC-4);0540/5-T-3;ARGENTINE NAVY;0;USHUAIA, TF;ARGENTINA;A1;1973
12393;1973-03-03;ILYUSHIN IL-18V;LZ-BEM;BALKAN BULGARIAN;25;MOSKVA-SHEREMETY...;RUSSIA;A1;1973
12394;1973-03-05;CONVAIR CV-990;EC-BJC;SPANTAX;0;NEAR LA PLANCE, NEAR ...;FRANCE;A2;1973
12395;1973-03-05;DC-9-32;EC-BII;IBERIA;68;NEAR LA PLANCE, NEAR ...;FRANCE;A1;1973
12396;1973-03-05;SE-210 CARAVELLE 10R;EC-BID;AVIACO;3;NEAR FUNCHAL AIRPORT ...;PORTUGAL;A1;1973
12397;1973-03-06;ANTONOV AN-12AP;CCCP-11994;AEROFLOT;0;GRAHAM BELL ISLA...;RUSSIA;A1;1973
12398;1973-03-06;ANTONOV AN-2T;CCCP-93467;AEROFLOT, URALSK;0;NEAR SEROV;RUSSIA;A1;1973
12399;1973-03-07;SABRELINER 40;N9503Z;ZIEGLER INC;2;BLAINE, MN;USA;A1;1973
12400;1973-03-07;FAIRCHILD C-123K PROVIDER;524;AIR AMERICA;4;NEAR BAN HONG SA;LAOS;A1;1973
12401;1973-03-07;ANTONOV AN-2R;CCCP-70816;AEROFLOT, CENTRAL REGION;0;NEAR SMOLENSK;RUSSIA;A1;1973
12402;1973-03-08;BOEING KC-135A;63-7989;USAF;2;COLUMBUS-LOCKBOU...;USA;A1;1973
12403;1973-03-08;DOUGLAS C-47J (DC-3);0-50781;US ARMY;14;SILK HOPE, NC;USA;A1;1973
12404;1973-03-09;MBB HFB-320 HANSA JET;N320MC;GOLDEN WEST AIRLINES;0;PHOENIX-SKY HARB...;USA;A1;1973
12405;1973-03-09;ANTONOV AN-2;CCCP-01262;AEROFLOT, TYUMEN;3;NEAR KONDINSKOYE;RUSSIA;A1;1973
12406;1973-03-15;LOCKHEED P-3B ORION;152749;US NAVY;5;NEAR BRUNSWICK-NAS, M...;ATLANTIC OCEAN;A1;1973
12407;1973-03-15;HAL-748;VT-EAU;INDIAN AIRLINES;4;NEAR HYDERABAD-BEGUMP...;INDIA;A1;1973
12408;1973-03-16;U-1A OTTER (DHC-3);0-53323;KHMER AIR FORCE;0;PHNOM PENH-POCHE...;CAMBODIA;A1;1973
12409;1973-03-19;DOUGLAS C-54D (DC-4);XV-NUI;AIR VIETNAM;58;NEAR BUON ME THUOT (B...;VIETNAM;C1;1973
12410;1973-03-22;CURTISS C-46A;CP-969;AIR BOLIVIA;0;CERRO PICON;BOLIVIA;A1;1973
12411;1973-03-24;ANTONOV AN-2;CCCP-05670;AEROFLOT, FAR EAST;2;NEAR OZYORNAYA;RUSSIA;A1;1973
12412;1973-03-26;DHC-6 TWIN OTTER 100;N7705;AIR CENTRAL;1;CHAMPAIGN-WILLAR...;USA;A1;1973
12413;1973-03-26;BN-2A ISLANDER;CF-XZS;ARCTIC AIR;0;NEAR TUMBLER RIDGE, BC;CANADA;A1;1973
12414;1973-03-29;MORANE SAULNIER (FMA) MS.760 PARIS I;E-213;ARGENTINE AF;2;VILLA REYNOLDS A...;ARGENTINA;A1;1973
12415;1973-03-29;MORANE SAULNIER (FMA) MS.760 PARIS I;E-217;ARGENTINE AF;2;VILLA REYNOLDS A...;ARGENTINA;A1;1973
12416;1973-03-31;DOUGLAS DC-3D;6169;PORTUGUESE AF;0;CUITO CANAVAL;ANGOLA;C1;1973
12417;1973-04-02;LOCKHEED P-2H NEPTUNE;141250;US NAVY;0;SOUTH WEYMOUTH N...;USA;A1;1973
12418;1973-04-03;LOCKHEED L-1049 SUPER CONSTELLATION;N6906C;AIRCRAFT AIRFRAME INC;0;MIAMI, FL;USA;A1;1973
12419;1973-04-06;CURTISS C-46R-1;CP-801;FRIGORIFICOS MOVIMA;0;UNKNOWN;BOLIVIA;A1;1973
12420;1973-04-06;ANTONOV AN-2R;CCCP-05820;AEROFLOT, LITHUANIA;0;NEAR VILNIUS;LITHUANIA;A1;1973
12421;1973-04-10;VICKERS 952 VANGUARD;G-AXOP;INVICTA INT. AIRWAYS;108;NEAR BASEL/MULHOUSE A...;SWITZERLAND;A1;1973
12422;1973-04-12;CONVAIR CV-990;N711NA;NASA;11;NEAR MOUNTAIN VIEW-MO...;USA;A1;1973
12423;1973-04-12;LOCKHEED P-3C ORION;157332;US NAVY;5;NEAR MOFFETT FIELD NA...;USA;A1;1973
12424;1973-04-13;ROCKWELL SABRELINER 60;N743R;CONTINENTAL AIR LINES;2;MONTROSE COUNTY ...;USA;A1;1973
12425;1973-04-14;ANTONOV AN-2R;CCCP-35577;AEROFLOT, KAZAKSTAN;1;NEAR ANDREYEVKA;KAZAKHSTAN;A1;1973
12426;1973-04-15;HOWARD SUPER VENTURA;N175S;PIONEER VENTURA AVIATION;3;CHIRIGUANÃ¡, CESAR;COLOMBIA;A1;1973
12427;1973-04-17;VICKERS 735 VISCOUNT;YI-ACL;IRAQI AIRWAYS;0;MOSUL AIRPORT (OSM);IRAQ;A1;1973
12428;1973-04-18;DHC-6 TWIN OTTER 100;YA-GAT;BAKHTAR AFGHAN;4;BAMYAN AIRPORT (...;AFGHANISTAN;A1;1973
12429;1973-04-18;NORD 2501D NORATLAS;9XR-KH;PORTALIA;0;DJIBOUTI AIRPORT...;DJIBOUTI;A1;1973
12430;1973-04-18;NORD 2501D NORATLAS;4X-FAO/072;ISRAELI AF;0;UNKNOWN;ISRAEL;A1;1973
